sl_no,is_code,description,download_link
93,IS 6461-10:1973,"Glossary of Terms Relating to Cement Concrete, Part 10: Tests and Testing Apparatus",https://archive.org/download/gov.in.is.6461.10.1973/is.6461.10.1973.pdf
94,IS 6461-11:1973,"Glossary of terms relating to cement concrete, Part 11: Prestressed concrete",https://archive.org/download/gov.in.is.6461.11.1973/is.6461.11.1973.pdf
95,IS 6461-12:1973,"Glossary of terms relating to cement concrete, Part 12: Miscellaneous",https://archive.org/download/gov.in.is.6461.12.1973/is.6461.12.1973.pdf
96,IS 6925:1973,Specification for Methods of Test for Determination of Water-Soluble Chlorides in Concrete Admixtures,https://archive.org/download/gov.in.is.6925.1973/is.6925.1973.pdf
97,IS 7246:1974,Recommendations for the use of table vibrators for consolidating concrete,https://archive.org/download/gov.in.is.7246.1974/is.7246.1974.pdf
98,IS 7320:1974,Specification for concrete slump test apparatus,https://archive.org/download/gov.in.is.7320.1974/is.7320.1974.pdf
99,IS 7325:1974,Specification for apparatus for determining constituents of fresh concrete,https://archive.org/download/gov.in.is.7325.1974/is.7325.1974.pdf
100,IS 8142:1976,Method of test for determining the setting time of concrete by penetration resistance,https://archive.org/download/gov.in.is.8142.1976/is.8142.1976.pdf
101,IS 9013:1978,"Method of making, curing and determining compressive strength of accelerated-cured concrete test specimens",https://archive.org/download/gov.in.is.9013.1978/is.9013.1978.pdf
102,IS 9103:1999,Specification for Concrete Admixtures,https://archive.org/download/gov.in.is.9103.1999/is.9103.1999.pdf
103,IS 9142:1974,Specification for Artificial Lightweight Aggregates for Concrete Masonry Units,https://archive.org/download/gov.in.is.9142.1979/is.9142.1979.pdf
104,IS 9284:1979,Method of test for abrasion resistance of concrete,https://archive.org/download/gov.in.is.9284.1979/is.9284.1979.pdf
105,IS 9399:1979,Specification for apparatus for flexural testing of concrete,https://archive.org/download/gov.in.is.9399.1979/is.9399.1979.pdf
106,IS 9459:1980,"Specification for apparatus for use in measurement of length change of hardened  cement paste, mortar and  concrete",https://archive.org/download/gov.in.is.9459.1980/is.9459.1980.pdf
107,IS 9799:1981,Specification for pressure meter for the determination of air content of freshly mixed concrete,https://archive.org/download/gov.in.is.9799.1981/is.9799.1981.pdf
108,IS 10079:1982,Specification for cylindrical metal measures for use in tests of aggregates and concrete,https://archive.org/download/gov.in.is.10079.1982/is.10079.1982.pdf
109,IS 10086:1982,Specification for moulds for use in tests of cement and concrete,https://archive.org/download/gov.in.is.10086.1982/is.10086.1982.pdf
110,IS 10262:2009,Guidelines for concrete mix design proportioning,https://archive.org/download/gov.in.is.10262.2009/is.10262.2009.pdf
111,IS 11993:1987,Code of practice for the use of screed board concrete vibrators,https://archive.org/download/gov.in.is.11993.1987/is.11993.1987.pdf
112,IS 12119:1987,General requirements for pan mixers for concrete,https://archive.org/download/gov.in.is.12119.1987/is.12119.1987.pdf
113,IS 14687:1999,Guidelines for falsework for concrete structures,https://archive.org/download/gov.in.is.14687.1999/is.14687.1999.pdf
114,IS 14858:2000,Requirements for a compression testing machine used for testing concrete and mortar,https://archive.org/download/gov.in.is.14858.2000/is.14858.2000.pdf
115,IS 14959-1:2001,"Method of Test determination of water-soluble and acid-soluble chlorides in mortar and concrete, Part 1: Fresh mortar and concrete",https://archive.org/download/gov.in.is.14959.1.2001/is.14959.1.2001.pdf
116,IS 14959-2:2001,"Method of Test determination of water-soluble and acid-soluble chlorides in mortar and concrete, Part 2: Hardened mortar and concrete",https://archive.org/download/gov.in.is.14959.2.2001/is.14959.2.2001.pdf
117,SP 16:1980,Requirements for a compression testing machine used for testing concrete and mortar,https://archive.org/download/gov.in.is.sp.16.1980/is.sp.16.1980.pdf
118,SP 23:1982,Handbook on Concrete Mixes,https://archive.org/download/gov.in.is.sp.23.1982/is.sp.23.1982.pdf
119,SP 24:1983,Explanatory Handbook on Indian Standard Code of Practice for Plain and Reinforced Concrete (IS 456:1978),https://archive.org/download/gov.in.is.sp.24.1983/is.sp.24.1983.pdf
120,SP 34:1984,Handbook on Concrete Reinforcement and Detailing,https://archive.org/download/gov.in.is.sp.34.1987/is.sp.34.1987.pdf
1122,IS 884:1985,Specification for First-Aid Hose-Reel For Fire Fighting,https://archive.org/download/gov.in.is.884.1985/is.884.1985.pdf
1123,IS 901:1988,"Specification for Couplings, Double Male And Double Female, Instantaneous Pattern For Fire Fighting",https://archive.org/download/gov.in.is.901.1988/is.901.1988.pdf
1124,IS 902:1992,Specification for Suction  Hose Couplings For Fire Fighting Purposes,https://archive.org/download/gov.in.is.902.1992/is.902.1992.pdf
1125,IS 903:1993,"Specification for  Fire Hose Delivery Couplings, Branch Pipe, Nozzles And Nozzle Spanner – Specification",https://archive.org/download/gov.in.is.903.1993/is.903.1993.pdf
1126,IS 904:1983,Specification for 2-Way And 3-Way Suction Collecting Heads For Fire Fighting Purposes,https://archive.org/download/gov.in.is.903.1993/is.903.1993.pdf
1127,IS 905:1980,"Specification for Delivery Breechings, Dividing And Collecting Instantaneous Pattern For Fire Fighting Purposes",https://archive.org/download/gov.in.is.905.1980/is.905.1980.pdf
1128,IS 906:1988,Specification for Revolving Branch Pipe For Fire Fighting,https://archive.org/download/gov.in.is.906.1988/is.906.1988.pdf
1129,IS 907:1984,"Specification for Suction Strainers, Cylindrical Type For Fire Fighting Purposes",https://archive.org/download/gov.in.is.907.1984/is.907.1984.pdf
1130,IS 908:1975,"Specification for Fire Hydrant, Stand Post Type",https://archive.org/download/gov.in.is.908.1975/is.908.1975.pdf
1131,IS 909:1992,"Specification for Underground Fire Hydrant, Sluice Valve Type",https://archive.org/download/gov.in.is.909.1992/is.909.1992.pdf
1132,IS 910:1980,"Specification for Combined Key For Hydrant, Hydrant Cover And Lower Valve",https://archive.org/download/gov.in.is.910.1980/is.910.1980.pdf
1133,IS 926:1985,Specification For Fireman’s Axe,https://archive.org/download/gov.in.is.926.1985/is.926.1985.pdf
1134,IS 927:1981,Specification For Fire Hooks,https://archive.org/download/gov.in.is.927.1981/is.927.1981.pdf
1135,IS 928:1984,Specification For Fire Bells,https://archive.org/download/gov.in.is.928.1984/is.928.1984.pdf
1136,IS 937:1981,Specification for Washers ForWaterFittings For Fire Fighting Purposes,https://archive.org/download/gov.in.is.937.1981/is.937.1981.pdf
1137,IS 939:1977,Specification for Snatch Block for Use with Fibre Rope for Fire Brigade Use,https://archive.org/download/gov.in.is.939.1977/is.939.1977.pdf
1138,IS 940:2003,"Specification for Portable Fire Extinguisher, Water Type (Gas Cartridge)",https://archive.org/download/gov.in.is.940.2003/is.940.2003.pdf
1139,IS 941:1985,Specification for Blower and Exhauster for Fire Fighting,https://archive.org/download/gov.in.is.941.1985/is.941.1985.pdf
1140,IS 942:1982,Functional Requirements for 275 1/Min Portable Pump Set for Fire Fighting,https://archive.org/download/gov.in.is.942.1982/is.942.1982.pdf
1141,IS 943:1979,Functional Requirements for 680-1/Min Trailer Pump For Fire Brigade Use,https://archive.org/download/gov.in.is.943.1979/is.943.1979.pdf
1994,IS 14458-1:1998,"Guidelines for retaining wall for hill area, Part 1: Selection of the type of wall",https://archive.org/download/gov.in.is.14458.1.1998/is.14458.1.1998.pdf
1995,IS 14458-2:1997,"Guidelines for retaining wall for hill area, Part 2: Design of retaining/breast walls",https://archive.org/download/gov.in.is.14458.2.1997/is.14458.2.1997.pdf
1996,IS 14458-3:1998,"Guidelines for retaining wall for hill area, Part 3: Construction of dry stone walls",https://archive.org/download/gov.in.is.14458.3.1998/is.14458.3.1998.pdf
1997,IS 14496-2:1998,"Guidelines for the preparation of landslide – Hazard zonation maps in mountainous terrains, Part 2: Macro-zonation",https://archive.org/download/gov.in.is.14496.2.1998/is.14496.2.1998.pdf
1998,IS 14680:1999,Landslide Control – Guidelines,https://archive.org/download/gov.in.is.14680.1999/is.14680.1999.pdf
1999,IS 14804:2000,"Siting, Design and Selection of Materials for Residential Buildings in Hilly Areas – Guidelines",https://archive.org/download/gov.in.is.14804.2000/is.14804.2000.pdf
2000,IS 14961:2001,Guidelines for Rainwater Harvesting in Hilly Areas by Roof Water Collection System,https://archive.org/download/gov.in.is.14961.2001/is.14961.2001.pdf
234,IS 833:1994,Design of Structural Timber In Building -Code of Practice,https://archive.org/download/gov.in.is.883.1994/is.883.1994.pdf
235,IS 965:1963,"Equivalent Metric Units For Scales, Dimensions and Quantities In General Construction Work",https://archive.org/download/gov.in.is.965.1963/is.965.1963.pdf
236,IS 1414:1989,Code of practice for fixing wall coverings,https://archive.org/download/gov.in.is.1414.1989/is.1414.1989.pdf
237,IS 1414-1:1971,"Code of Practice for Painting of Ferrous Metals in Buildings, Part 1: Pretreatment",https://archive.org/download/gov.in.is.1477.1.1971/is.1477.1.1971.pdf
238,IS 1414-2:1971,"Code of practice for the painting of ferrous metals in buildings, Part 2: Painting",https://archive.org/download/gov.in.is.1477.2.1971/is.1477.2.1971.pdf
239,IS 1597-1:1992,"Construction of Stone Masonry – Code of Practice, Part 1: Rubble Stone Masonry",https://archive.org/download/gov.in.is.1597.1.1992/is.1597.1.1992.pdf
240,IS 1597-2:1992,"Code of practice for construction of stone masonry, Part 2: Ashlar masonry",https://archive.org/download/gov.in.is.1597.2.1992/is.1597.2.1992.pdf
241,IS 1634:1992,Code of practice for the design and construction of wood stairs for houses,https://archive.org/download/gov.in.is.1634.1992/is.1634.1992.pdf
242,IS 1649:1962,Code of practice for design and construction of flues and chimneys for domestic heating appliances,https://archive.org/download/gov.in.is.1649.1962/is.1649.1962.pdf
243,IS 1834:1984,Hot Applied Sealing Compounds for Joints in Concrete- Specification,https://archive.org/download/gov.in.is.1834.1984/is.1834.1984.pdf
244,IS 1838-1:1983,Preformed fillers for expansion joints in  concrete pavement and structures (non-extruding and resilient type): Part 1 Bitumen impregnated fibre – Specification,https://archive.org/download/gov.in.is.1838.1.1983/is.1838.1.1983.pdf
245,IS 1838-2:1984,Preformed fillers for expansion joints in concrete pavement and structure (non-extruding and resilient type) Part 2 CNSL Aldehyde resin and coconut pith – Specification,https://archive.org/download/gov.in.is.1838.2.1984/is.1838.2.1984.pdf
246,IS 1838-3:2011,Preformed Fillers for Expansion Joints in  Concrete Pavements and Structures(non-extruding and resilient type) Part 3 Polymer-Based,https://archive.org/download/gov.in.is.1838.3.2011/is.1838.3.2011.pdf
247,IS 1905:1987,Code of Practice for Structural Use of Unreinforced Masonry,https://archive.org/download/gov.in.is.1905.1987/is.1905.1987.pdf
248,IS 1946:1961,"Code of practice for the use of fixing devices in walls, ceilings and floors of solid construction",https://archive.org/download/gov.in.is.1946.1961/is.1946.1961.pdf
249,IS 2110:1980,Code of practice for in-situ construction of walls in buildings with soil-cement,https://archive.org/download/gov.in.is.2110.1980/is.2110.1980.pdf
250,IS 2115:1980,Code of practice for flat-roof finish: mud phuska,https://archive.org/download/gov.in.is.2115.1980/is.2115.1980.pdf
251,IS 2116:1980,Sand for masonry mortars – Specification,https://archive.org/download/gov.in.is.2116.1980/is.2116.1980.pdf
252,IS 2118:1980,Code of Practice for Construction of Jack-Arch Type of Bult-up Floor or Roof,https://archive.org/download/gov.in.is.2118.1980/is.2118.1980.pdf
253,IS 2119:1980,Code of practice for the construction of brick-cum-concrete composite (Madras terrace) floor and roof,https://archive.org/download/gov.in.is.2119.1980/is.2119.1980.pdf
186,IS 712:1984,Specification for Building Limes,https://archive.org/download/gov.in.is.712.1984/is.712.1984.pdf
187,IS 1624:1986,Method of field testing of building  lime,https://archive.org/download/gov.in.is.1624.1986/is.1624.1986.pdf
188,IS 1635:1992,Code of practice for field slaking of building lime and preparation of putty,https://archive.org/download/gov.in.is.1635.1992/is.1635.1992.pdf
189,IS 1849-1-1:1990,"Design and installation of vertical mixed-feed lime kiln guide, Part 1:  Limestone, Section 1: Masonry-type shaft",https://archive.org/download/gov.in.is.1849.1.1.1990/is.1849.1.1.1990.pdf
190,IS 1849-1-2:1991,"Design and installation of vertical mixed feed type lime kiln guide, Part 1: For limestone, Section 2: RCC type shaft",https://archive.org/download/gov.in.is.1849.1.2.1991/is.1849.1.2.1991.pdf
191,IS 1861-1:1990,"Guide for the manufacture of lime in vertical mixed-feed type kiln, Part 1: From lime-stone",https://archive.org/download/gov.in.is.1861.1.1990/is.1861.1.1990.pdf
192,IS 2095-1:2011,"Gypsum Plaster Boards, Part 1: Plain Gypsum Plaster Boards",https://archive.org/download/gov.in.is.2095.1.2011/is.2095.1.2011.pdf
193,IS 2095-2:2001,"Gypsum Plaster Boards, Part 2: Coated/Laminated Gypsum Plaster Boards",https://archive.org/download/gov.in.is.2095.2.2001/is.2095.2.2001.pdf
194,IS 2095-3:1996,"gypsum plaster boards, Part 3: Reinforced Gypsum plasterboards",https://archive.org/download/gov.in.is.2095.3.1996/is.2095.3.1996.pdf
195,IS 2469:1976,Glossary of terms relating to gypsum,https://archive.org/download/gov.in.is.2469.1976/is.2469.1976.pdf
196,IS 2541:1991,"Gypsum Building Plaster, Part 1: Excluding premixed lightweight plaster",https://archive.org/download/gov.in.is.2541.1991/is.2541.1991.pdf
197,IS 2547-1:1976,non-load-bearing gypsum partition blocks (solid and hollow types),https://archive.org/download/gov.in.is.2547.1.1976/is.2547.1.1976.pdf
198,IS 2547-2:1976,"gypsum building plaster, Part 2: Premixed lightweight plaster",https://archive.org/download/gov.in.is.2547.2.1976/is.2547.2.1976.pdf
199,IS 2686:1977,Cinder as Fine Aggregates for use in Lime Concrete,https://archive.org/download/gov.in.is.2686.1977/is.2686.1977.pdf
200,IS 2849:1983,lime-based blocks,https://archive.org/download/gov.in.is.2849.1983/is.2849.1983.pdf
201,IS 3068:1986,broken brick (burnt clay) coarse aggregates for use in lime concrete,https://archive.org/download/gov.in.is.3068.1986/is.3068.1986.pdf
202,IS 3115:1992,Method of test for building limes: Determination of carbon dioxide content,https://archive.org/download/gov.in.is.3115.1992/is.3115.1992.pdf
203,IS 3182:1986,broken brick (burnt clay) fine aggregates for use in lime mortar,https://archive.org/download/gov.in.is.3182.1986/is.3182.1986.pdf
204,IS 4098:1983,lime-pozzolana mixture,https://archive.org/download/gov.in.is.4098.1983/is.4098.1983.pdf
205,IS 4139:1989,calcium silicate bricks,https://archive.org/download/gov.in.is.4139.1989/is.4139.1989.pdf
206,IS 5817:1992,Code of practice for preparation and use of lime-pozzolana mixture concrete in buildings and roads,https://law.resource.org/pub/in/bis/S03/is.5817.1992.pdf
207,IS 6508:1988,Glossary of terms relating to building lime,https://archive.org/download/gov.in.is.6508.1988/is.6508.1988.pdf
208,IS 6932-1:1973,"Method of test for building limes, Part 1: Determination of insoluble residue, loss on ignition, insoluble matter,silicon dioxide, ferric and aluminium oxide, calcium oxide and magnesium oxide",https://archive.org/download/gov.in.is.6932.1.1973/is.6932.1.1973.pdf
209,IS 6932-2:1973,Method of test for building limes: Determination of residue on slaking of quicklime,https://archive.org/download/gov.in.is.6932.2.1973/is.6932.2.1973.pdf
210,IS 6932-3:1973,Method of test for building limes: Determination of fineness of hydrated lime,https://archive.org/download/gov.in.is.6932.3.1973/is.6932.3.1973.pdf
211,IS 6932-4:1973,Method of test for building limes: Determination of soundness,https://archive.org/download/gov.in.is.6932.4.1973/is.6932.4.1973.pdf
212,IS 6932-5:1973,"Method of test for building limes: Determination of unhydrated oxide, Part V: Determination of unhydrated oxide",https://archive.org/download/gov.in.is.6932.5.1973/is.6932.5.1973.pdf
213,IS 6932-6:1973,"Method of test for building limes, Part VI: Determination of volume yield of quicklime",https://archive.org/download/gov.in.is.6932.6.1973/is.6932.6.1973.pdf
214,IS 6932-7:1973,"Method of test for building limes, Part VII: Determination of compressive and transverse strength",https://archive.org/download/gov.in.is.6932.7.1973/is.6932.7.1973.pdf
215,IS 6932-8:1973,"Method of test for building limes, Part VIII: Determination of workability",https://archive.org/download/gov.in.is.6932.8.1973/is.6932.8.1973.pdf
216,IS 6932-9:1973,Code of practice for the manufacture and use of lime-pozzolana concrete blocks for paving,https://archive.org/download/gov.in.is.6932.9.1973/is.6932.9.1973.pdf
217,IS 6932-10:1973,"Methods of Tests for Building Limes, Part X: Determination of Popping and Pitting of Hydrated Lime",https://archive.org/download/gov.in.is.6932.10.1973/is.6932.10.1973.pdf
218,IS 6932-11:1983,"Methods of Tests for Building Limes, Part 11: Determination of Setting Time of Hydrated Lime",https://archive.org/download/gov.in.is.6932.11.1983/is.6932.11.1983.pdf
219,IS 8272:1984,gypsum plaster for use in the manufacture of fibrous plaster boards,https://archive.org/download/gov.in.is.8272.1984/is.8272.1984.pdf
220,IS 9498:1980,inorganic aggregates for use in gypsum plaster,https://archive.org/download/gov.in.is.9498.1980/is.9498.1980.pdf
221,IS 10049:1981,Code of practice for the manufacture of lime-based blocks,https://archive.org/download/gov.in.is.10049.1981/is.10049.1981.pdf
222,IS 10359:1982,quick-setting lime pozzolana mixture,https://archive.org/download/gov.in.is.10359.1982/is.10359.1982.pdf
223,IS 10360:1982,lime-pozzolana concrete blocks for paving,https://archive.org/download/gov.in.is.10360.1982/is.10360.1982.pdf
224,IS 10772:1983,Low-grade gypsum use in the building industry: Code of practice,https://archive.org/download/gov.in.is.10772.1983/is.10772.1983.pdf
225,IS 12654:1989,Pulverised Fuel Ash-Lime Bricks,https://archive.org/download/gov.in.is.12654.1989/is.12654.1989.pdf
226,IS 12679:1989,"By-product gypsum for use in plaster, blocks and boards",https://archive.org/download/gov.in.is.12679.1989/is.12679.1989.pdf
227,IS 12894:2002,Guidelines for the manufacture of gypsum plaster in the mechanised pan system,https://archive.org/download/gov.in.is.12894.2002/is.12894.2002.pdf
228,IS 13001:1991,Pulverised fuel ash for lime-pozzolana mixture applications.,https://archive.org/download/gov.in.is.13001.1991/is.13001.1991.pdf
229,IS 14401:1996,Guidelines for handling and storage of building limes,https://archive.org/download/gov.in.is.14401.1996/is.14401.1996.pdf
230,IS 1486:2000,Guidelines on Fuel Saving in Vertical Mixed-feed Lime Shaft Kilns,https://archive.org/download/gov.in.is.14860.2000/is.14860.2000.pdf
231,IS 15648:2006,Pulverized fuel ash for lime-pozzolana mixture applications.,https://archive.org/download/gov.in.is.15648.2006/is.15648.2006.pdf
232,IS 2542-1-1To12:1978,"Methods of Test for Gypsum Plaster, Concrete and Products, Part I: Plaster and Concrete",https://archive.org/download/gov.in.is.iec.2542.1.1-12.1978/is.iec.2542.1.1-12.1978.pdf
233,IS 2542-2-1To8:1981,"Methods of Test for Gypsum Plaster, Concrete and Products, Part II: Gypsum Products",https://archive.org/download/gov.in.is.iec.2542.2.1-8.1981/is.iec.2542.2.1-8.1981.pdf
1486,IS 2210:1988,Criteria for design ofreinforced  concreteshell structures and folded plates,https://archive.org/download/gov.in.is.2210.1988/is.2210.1988.pdf
1487,IS 3935:1966,Code of practice for composite construction,https://archive.org/download/gov.in.is.3935.1966/is.3935.1966.pdf
1488,IS 4090:1967,Criteria for design of reinforced concrete arches,https://archive.org/download/gov.in.is.4090.1967/is.4090.1967.pdf
1489,IS 4995-1:1974,"Criteria for design of reinforced concrete bins for storage of granular and powdery materials, Part 1: General requirements and assessment of bin loads",https://archive.org/download/gov.in.is.4995.1.1974/is.4995.1.1974.pdf
1490,IS 4995-2:1974,"Criteria for Design of Reinforced  Concrete Bins for Storage of Granular and Powdery Materials, Part II: Design Criteria",https://archive.org/download/gov.in.is.4995.2.1974/is.4995.2.1974.pdf
1491,IS 4998-1:1992,"Criteria for design of reinforced concrete chimneys, Part 1: Assessment of loads",https://archive.org/download/gov.in.is.4998.1.1992/is.4998.1.1992.pdf
1492,IS 11384:1985,Code of Practice forCompositeConstruction in Structural Steel and Concrete,https://archive.org/download/gov.in.is.11384.1985/is.11384.1985.pdf
1493,IS 11504:1985,Criteria for the structural design of reinforced concrete natural draught cooling towers,https://archive.org/download/gov.in.is.11504.1985/is.11504.1985.pdf
1494,IS 11682:1985,Criteria for design of RCC staging for overhead water tanks,https://archive.org/download/gov.in.is.11682.1985/is.11682.1985.pdf
1495,SP 43:1987,Handbook on Structures with Reinforced Concrete Portal Frames (Without Cranes),https://archive.org/download/gov.in.is.sp.43.1987/is.sp.43.1987.pdf
1017,IS 204-1:1991,Tower Bolts – Specification: Part 1 Ferrous Metals,https://archive.org/download/gov.in.is.204.1.1991/is.204.1.1991.pdf
1018,IS 204-2:1992,Tower Bolts – Specification Part 2 Non-Ferrous Metals,https://archive.org/download/gov.in.is.204.2.1992/is.204.2.1992.pdf
1019,IS 205:1992,Non-Ferrous Metal Butt Hinges -Specification,https://archive.org/download/gov.in.is.206.2010/is.206.2010.pdf
1020,IS 206:2010,Tee and Strap Hinges – Specification,https://archive.org/download/gov.in.is.206.2010/is.206.2010.pdf
1021,IS 208:1996,Door Handles -Specification,https://archive.org/download/gov.in.is.208.1996/is.208.1996.pdf
1022,IS 281:2009,Mild Steel Sliding Door Bolts for Use With Padlocks -Specification,https://archive.org/download/gov.in.is.281.2009/is.281.2009.pdf
1023,IS 362:1991,Parliament Hinges -Specification,https://archive.org/download/gov.in.is.362.1991/is.362.1991.pdf
1024,IS 363:1993,Hasps and Staples -Specification,https://archive.org/download/gov.in.is.363.1993/is.363.1993.pdf
1025,IS 364:1993,Fanlight Catch -Specification,https://archive.org/download/gov.in.is.364.1993/is.364.1993.pdf
1026,IS 452:1973,"Door Spring, Rat-Tail Type – Specification",https://archive.org/download/gov.in.is.452.1973/is.452.1973.pdf
1027,IS 453:1993,Double-Acting Spring Hinges -Specification,https://archive.org/download/gov.in.is.453.1993/is.453.1993.pdf
1028,IS 1019:1974,Specification For Rim Latches,https://archive.org/download/gov.in.is.1019.1974/is.1019.1974.pdf
1029,IS 1341:1992,Steel butt hinges,https://archive.org/download/gov.in.is.1341.1992/is.1341.1992.pdf
1030,IS 1823:1980,Specification for floor door stoppers,https://archive.org/download/gov.in.is.1823.1980/is.1823.1980.pdf
1031,IS 1837:1966,Specification for fanlight pivots,https://archive.org/download/gov.in.is.1837.1966/is.1837.1966.pdf
1032,IS 2681:1993,Non-ferrous metal sliding door bolts (drops) with padlocks -Specification,https://archive.org/download/gov.in.is.2681.1993/is.2681.1993.pdf
1033,IS 3564:1995,Hydraulically Regulated Door Closers -Specification,https://archive.org/download/gov.in.is.3564.1995/is.3564.1995.pdf
1034,IS 3818:1992,Continuous (Piano) hinges -Specification,https://archive.org/download/gov.in.is.3818.1992/is.3818.1992.pdf
1035,IS 3828:1966,Specification for ventilator chains,https://archive.org/download/gov.in.is.3828.1966/is.3828.1966.pdf
1036,IS 3843:1995,Steel back flap hinges -Specification,https://archive.org/download/gov.in.is.3843.1995/is.3843.1995.pdf
1542,IS 1080:1985,"Code of Practice For Design And Construction Of Shallow Foundations In Soils (Other Than Raft, Ring, and Shell)",https://archive.org/download/gov.in.is.1080.1985/is.1080.1985.pdf
1543,IS 1498:1970,Classification and identification of soils for general engineering purposes,https://archive.org/download/gov.in.is.1498.1970/is.1498.1970.pdf
1544,IS 1888:1982,Method of load test on soils,https://archive.org/download/gov.in.is.1888.1982/is.1888.1982.pdf
1545,IS 1892:1979,Code of practice for subsurface investigation for foundations,https://archive.org/download/gov.in.is.1892.1979/is.1892.1979.pdf
1546,IS 1904:1986,Code of practice for design and construction of foundations in soils: General requirements,https://archive.org/download/gov.in.is.1904.1986/is.1904.1986.pdf
1547,IS 2131:1981,Method for the standard penetration test for soils,https://archive.org/download/gov.in.is.2131.1981/is.2131.1981.pdf
1548,IS 2132:1986,Code of practice for thin-walled tube sampling of soils,https://archive.org/download/gov.in.is.2132.1986/is.2132.1986.pdf
1549,IS 2720-1:1983,"Methods of test for soils, Part 1: Preparation of dry  soil samples for various tests",https://archive.org/download/gov.in.is.2720.1.1983/is.2720.1.1983.pdf
1550,IS 2720-2:1973,"Methods of test for soils, Part 2: Determination of water content",https://archive.org/download/gov.in.is.2720.2.1973/is.2720.2.1973.pdf
1551,IS 2720-3-1:1980,"Methods of test for soils, Part 3: Determination of specific gravity, Section 1: Fine-grained soils",https://archive.org/download/gov.in.is.2720.3.1.1980/is.2720.3.1.1980.pdf
1552,IS 2720-3-2:1980,"Methods of test for soils, Part 3: Determination of specific gravity, Section 2: Fine, medium and coarse-grained soils",https://archive.org/download/gov.in.is.2720.3.2.1980/is.2720.3.2.1980.pdf
1553,IS 2720-4:1985,"Methods of test for soils, Part 4: Grain size analysis",https://archive.org/download/gov.in.is.2720.4.1985/is.2720.4.1985.pdf
1554,IS 2720-5:1985,"Methods of test for soils, Part 5: Determination of liquid and plastic limit",https://archive.org/download/gov.in.is.2720.5.1985/is.2720.5.1985.pdf
1555,IS 2720-6:1972,"Methods of test for soils, Part 6: Determination of shrinkage factors",https://archive.org/download/gov.in.is.2720.6.1972/is.2720.6.1972.pdf
1556,IS 2720-7:1980,"Methods of test for soils, Part 7: Determination of water content-dry density relation using light compaction",https://archive.org/download/gov.in.is.2720.7.1980/is.2720.7.1980.pdf
1557,IS 2720-8:1983,"Methods of test for soils, Part 8: Determination of water content-dry density relation using heavy compaction",https://archive.org/download/gov.in.is.2720.8.1983/is.2720.8.1983.pdf
1558,IS 2720-9:1992,"Methods of test for soils, Part 9: Determination of dry density- moisture content relation by constant mass of soil method",https://archive.org/download/gov.in.is.2720.9.1992/is.2720.9.1992.pdf
1559,IS 2720-10:1991,"Methods of test for soils, Part 10: Determination of unconfined compressive strength",https://archive.org/download/gov.in.is.2720.10.1991/is.2720.10.1991.pdf
1560,IS 2720-11:1993,"Methods of test for soils, Part 11: Determination of the shear strength parameters of a specimen tested in unconsolidated undrained triaxial compression without the measurement of pore water pressure",https://archive.org/download/gov.in.is.2720.11.1993/is.2720.11.1993.pdf
1561,IS 2720-12:1981,"Methods of test for soils, Part 12: Determination of shear strength parameters of soil from consolidated undrained triaxial compression test with measurement of pore water pressure",https://archive.org/download/gov.in.is.2720.12.1981/is.2720.12.1981.pdf
1695,SP 7 Group 1:2005,National Building Code of India 2005 – Group 1,https://archive.org/download/gov.in.is.sp.7.1.2005/is.sp.7.1.2005.pdf
1696,SP 7 Group 2:2005,National Building Code of India 2005 – Group 2,https://archive.org/download/gov.in.is.sp.7.2.2005/is.sp.7.2.2005.pdf
1697,SP 7 Group 3:2005,National Building Code of India 2005 – Group 3,https://archive.org/download/gov.in.is.sp.7.3.2005/is.sp.7.3.2005.pdf
1698,SP 7 Group 4:2005,National Building Code of India 2005 – Group 4,https://archive.org/download/gov.in.is.sp.7.4.2005/is.sp.7.4.2005.pdf
1699,SP 7 Group 5:2005,National Building Code of India 2005 – Group 5,https://archive.org/download/gov.in.is.sp.7.5.2005/is.sp.7.5.2005.pdf
1700,SP 7:2005,Reconstituted National Building Code of India 2005 – (Groups 1 to 5),https://archive.org/download/gov.in.is.sp.7.2005/is.sp.7.2005.a4.print.pdf
1438,IS 1641:1988,Code of practice for fire safety of buildings (general): General principles of fire grading and classification,https://archive.org/download/gov.in.is.1641.1988/is.1641.1988.pdf
1439,IS 1642:1989,Code of practice for fire safety of buildings (general): Details of construction,https://archive.org/download/gov.in.is.1642.1989/is.1642.1989.pdf
1440,IS 1643:1988,Code of practice for fire safety of buildings (general): Exposure hazard,https://archive.org/download/gov.in.is.1643.1988/is.1643.1988.pdf
1441,IS 1644:1988,Code of practice for fire safety of buildings (general): Exit requirements and personal hazard,https://archive.org/download/gov.in.is.1644.1988/is.1644.1988.pdf
1442,IS 1644:2013,Code of practice for fire safety of buildings (general): Exit requirements and personal hazard,https://archive.org/download/gov.in.is.1644.2013/is.1644.2013.pdf
1443,IS 1646:1997,Code of practice for fire safety of buildings (general): Electrical installations,https://archive.org/download/gov.in.is.1646.1997/is.1646.1997.pdf
1444,IS 2726:1988,Code of practice for fire safety of industrial buildings: Cotton ginning and pressing (including cotton seed delivering)factories,https://archive.org/download/gov.in.is.2726.1988/is.2726.1988.pdf
